"Function","test_id","bias","variance","mse"
"func_poly_deg3",23,0.186105326953856,0.292450868745442,0.327086061466044
"func_poly_deg3",24,0.16939558539748,0.994125515074582,1.02282037942674
"func_poly_deg3",25,0.257249379499117,0.0678086157873674,0.133985859040048
"func_poly_deg3",26,0.128616809262909,0.137297964152672,0.153840247777644
"func_poly_deg3",27,-0.225184094128887,1.00865607626942,1.05936395251807
"func_poly_deg3",28,0.0896278946069624,0.0786630898060375,0.0866962492977143
"func_poly_deg3",29,0.014611964203315,0.115888815481549,0.116102324979428
"func_poly_deg3",30,0.277438359808879,0.0391099648081029,0.116082008301544
"func_poly_deg3",31,-0.4610067071175,2.11791372018723,2.33044090419454
"func_poly_deg3",32,-0.662315518169694,3.62026178346738,4.05892362907577
"func_poly_deg3",33,-2.19713391623312,7.82529939057032,12.6526968364322
"func_poly_deg3",34,-0.208862771347717,0.58745662053227,0.631080277787319
"func_poly_deg3",35,-0.542926279647776,3.51822593873037,3.81299488386255
"func_poly_deg3",36,0.0525835061254261,1.32174413498338,1.32450916009982
"func_poly_deg3",37,-0.873981239228924,1.8956953425659,2.65953854909003
