"Function","Noise","N_Train","N_Tree","Coverage_Mean","Coverage_SD"
"func_poly_deg2_p2","t",100,50,0.825585,0.128640774629365
"func_poly_deg2_p2","t",100,100,0.697575,0.186220365256033
"func_poly_deg2_p2","t",100,150,0.64557,0.19960596547607
"func_poly_deg2_p2","t",100,200,0.610785,0.208202845410654
"func_poly_deg2_p2","t",150,20,0.976905,0.0220200631914941
"func_poly_deg2_p2","t",150,50,0.887495,0.0781470561246704
"func_poly_deg2_p2","t",150,100,0.74276,0.158894622794109
"func_poly_deg2_p2","t",150,150,0.650035,0.184021162493921
"func_poly_deg2_p2","t",150,200,0.60932,0.189374375868513
"func_poly_deg2_p2","t",200,20,0.98719,0.0118437572782528
"func_poly_deg2_p2","t",200,50,0.91303,0.0549270566650418
"func_poly_deg2_p2","t",200,100,0.771235,0.148429522274737
"func_poly_deg2_p2","t",200,150,0.66926,0.169834099796343
"func_poly_deg2_p2","t",200,200,0.61069,0.173157739957728
